Челябинская область,Троицкая городская,УИК №337,2072,2100,0,1410,277,413,277,1410,33,1654,0,0,10,293,148,1155,10,16,13,9
Свердловская область,Нижнесергинская,УИК №585,256,260,0,133,1,126,1,133,2,132,0,0,0,10,5,116,1,0,0,0
Свердловская область,Артемовская,УИК №69,1732,1750,0,856,48,846,48,856,10,894,0,0,6,121,88,655,5,6,9,4
Краснодарский край,Курганинская,УИК №2737,1191,1300,0,955,213,132,213,955,0,1168,0,0,2,63,82,1012,2,3,3,1
Республика Башкортостан,Караидельская,УИК №2268,323,326,0,273,25,28,25,273,1,297,0,0,2,22,13,256,2,0,0,2
Удмуртская Республика,Глазовская городская,УИК №735,2115,2100,0,1191,27,882,27,1191,18,1200,0,0,6,175,98,871,16,13,13,8
Челябинская область,Аргаяшская,УИК №11,242,230,0,163,3,64,3,163,2,164,0,0,0,12,10,137,1,0,3,1
Ставропольский край,Новоалександровская,УИК №926,184,190,0,160,10,20,10,160,0,170,0,0,1,5,11,153,0,0,0,0
Пензенская область,Нижнеломовская,УИК №826,1177,1123,0,931,158,34,158,931,10,1079,0,0,3,64,44,956,4,7,1,0
Калужская область,Дзержинская,УИК №428,2000,1900,0,1187,64,649,64,1186,16,1234,0,0,9,141,95,961,10,13,2,3
Республика Татарстан (Татарстан),Казань, Авиастроительная,УИК №2,2679,2200,0,1423,49,728,49,1420,35,1434,0,0,0,140,78,1147,10,34,17,8
Краснодарский край,Краснодар, Центральная,УИК №2355,2541,2300,0,1324,110,866,110,1324,11,1423,0,0,8,195,79,1076,26,3,20,16
Амурская область,Мазановского района,УИК №1019,140,140,0,75,11,54,11,75,0,86,0,0,1,4,7,73,1,0,0,0
Иркутская область,Зиминская городская,УИК №473,1098,1040,0,665,37,338,37,665,9,693,0,0,3,144,58,468,6,5,5,4
город Москва,Бабушкинский район,УИК №3656,965,1500,0,745,220,535,220,745,12,953,0,0,7,97,55,740,26,6,3,19
Ставропольский край,Кочубеевская,УИК №637,145,140,0,91,11,38,11,91,0,102,0,0,0,9,14,78,1,0,0,0
Воронежская область,Лискинская,УИК №2013,1200,1200,0,545,134,521,134,545,1,678,0,0,2,62,32,569,4,2,7,0
Красноярский край,Емельяновская,УИК №1130,137,130,0,101,0,29,0,101,0,101,0,0,0,8,7,84,1,1,0,0
Свердловская область,Екатеринбург, Орджоникидзевская,УИК №1670,2439,2400,0,1525,16,859,16,1519,20,1515,0,0,16,190,60,1109,58,9,29,44
Свердловская область,Нижний Тагил, Дзержинская,УИК №2154,1902,1700,0,1158,18,524,18,1158,19,1157,0,0,4,141,82,885,18,10,12,5
Пензенская область,Кузнецкая городская ,УИК №238,1665,1600,0,763,167,670,167,763,4,926,0,0,4,118,76,704,4,14,3,3
Приморский край,Уссурийская городская,УИК №3811,1912,1900,0,1088,140,672,140,1088,16,1212,0,0,3,216,89,879,7,9,2,7
Республика Бурятия,Еравнинская,УИК №134,37,40,0,37,0,3,0,37,0,37,0,0,0,1,0,36,0,0,0,0
Свердловская область,Богдановичская,УИК №266,397,350,0,276,16,58,16,276,5,287,0,0,1,19,27,235,2,1,1,1
Курская область,Обоянская,УИК №775,303,280,0,134,67,79,67,134,0,201,0,0,2,21,14,162,0,0,1,1
Амурская область,города Свободный,УИК №1507,1705,1500,0,963,38,499,38,962,18,982,0,0,3,240,108,610,12,3,4,2
Республика Адыгея (Адыгея),Кошехабльская,УИК №49,872,821,0,764,46,11,46,764,4,806,0,0,2,67,16,713,2,6,0,0
Курская область,Пристенская,УИК №855,207,165,0,98,60,7,60,98,3,155,0,0,0,7,18,127,0,2,1,0
Республика Ингушетия,Сунженская,УИК №134,184,176,0,174,0,2,0,174,0,174,0,0,3,4,4,149,4,0,5,5
Республика Татарстан (Татарстан),Набережные Челны, Автозаводская,УИК №2133,2416,2300,0,1743,115,442,115,1743,15,1843,0,0,17,128,83,1399,32,147,16,21
Калужская область,Обнинская городская,УИК №2013,2699,2500,0,1744,16,740,16,1742,19,1739,0,0,22,185,107,1313,47,15,24,26
Челябинская область,Карталинская,УИК №1669,1408,1400,0,691,50,659,50,691,14,727,0,0,0,119,74,508,8,5,7,6
Саратовская область,Самойловская,УИК №1584,71,75,0,48,11,16,11,48,0,59,0,0,0,5,5,47,1,1,0,0
Кемеровская область,Топкинская,УИК №1487,1748,1800,0,1211,24,565,24,1187,34,1177,0,0,9,190,30,915,15,8,7,3
Республика Башкортостан,Бижбулякская,УИК №1397,592,623,0,510,30,83,30,510,0,540,0,0,2,72,23,440,0,3,0,0
Краснодарский край,Сочи, Адлерская,УИК №4339,961,850,0,699,13,138,13,698,100,611,0,0,4,33,25,511,18,6,8,6
Иркутская область,Иркутская городская N 4,УИК №700,1973,1900,0,1227,15,658,15,1226,12,1229,0,0,8,208,50,894,29,8,10,22
Ставропольский край,Изобильненская,УИК №456,1499,1400,0,878,49,473,49,878,17,910,0,0,6,152,62,661,12,6,7,4
Приморский край,Пожарская,УИК №2517,1040,1070,0,631,25,414,25,631,11,645,0,0,4,207,37,379,4,6,6,2
Курганская область,Шадринская,УИК №977,1087,1170,0,625,104,441,104,625,10,719,0,0,4,72,66,569,1,6,1,0
Тульская область,Тула, Зареченская,УИК №2130,1638,1300,0,902,186,212,186,901,10,1077,0,0,5,80,61,903,13,2,7,6
Ленинградская область,Выборгская,УИК №315,902,850,0,540,25,285,25,540,5,560,0,0,5,39,33,462,9,6,1,5
Челябинская область,Карталинская,УИК №1698,158,170,0,97,6,67,6,97,0,103,0,0,2,8,10,83,0,0,0,0
Челябинская область,Уйская,УИК №429,224,230,0,170,13,47,13,170,4,179,0,0,0,24,9,145,0,1,0,0
Челябинская область,Октябрьская,УИК №229,296,290,0,181,16,93,16,181,6,191,0,0,0,23,11,153,2,1,0,1
Псковская область,Великолукская,УИК №466,345,300,0,141,106,53,106,141,1,246,0,0,2,22,17,197,2,3,0,3
Астраханская область,Енотаевская,УИК №703,1425,1400,0,764,70,566,70,764,19,815,0,0,1,142,28,618,12,4,6,4
Московская область,Павлово-Посадская городская,УИК №2244,1327,1300,0,737,20,543,20,737,14,743,0,0,5,75,51,574,15,7,5,11
Республика Дагестан,Акушинская,УИК №64,228,228,0,211,0,17,0,211,2,209,0,0,1,13,0,189,0,2,2,2
Нижегородская область,Саровская городская,УИК №1669,2028,2000,0,1539,20,441,20,1539,19,1540,0,0,12,161,101,1216,17,18,12,3
Ленинградская область,Подпорожская,УИК №734,1058,1125,0,529,57,539,57,529,5,581,0,0,3,35,34,490,11,3,2,3
Иркутская область,Эхирит-Булагатская,УИК №1863,301,321,0,142,20,159,20,142,2,160,0,0,1,20,6,130,3,0,0,0
Самарская область,Сызранская городская,УИК №3774,1149,1100,0,728,61,311,61,728,0,789,0,0,4,95,57,608,7,8,4,6
Вологодская область,Сокольская,УИК №622,1852,1867,0,999,70,798,70,999,13,1056,0,0,17,145,63,806,19,2,4,0
Самарская область,Клявлинская,УИК №1412,225,230,0,186,35,9,35,186,10,211,0,0,2,11,7,189,0,2,0,0
Ставропольский край,Пятигорская городская,УИК №1089,1532,1550,0,781,23,746,23,781,12,792,0,0,8,148,38,563,16,7,9,3
Свердловская область,Ачитская,УИК №158,866,800,0,467,47,286,47,467,3,511,0,0,4,76,45,377,3,1,3,2
Рязанская область,Чучковская,УИК №720,757,750,0,389,65,296,65,389,5,449,0,0,4,85,39,315,2,1,1,2
Пермский край,Кочевская,УИК №5015,99,100,0,58,24,18,24,58,0,82,0,0,2,6,10,64,0,0,0,0
Республика Коми,Прилузская,УИК №659,198,180,0,121,11,48,11,121,2,130,0,0,1,4,15,105,3,1,1,0
Свердловская область,Пелымская поселковая,УИК №2601,373,350,0,264,12,74,12,264,3,273,0,0,3,34,22,211,1,1,1,0
город Санкт-Петербург,Территориальная избирательная комиссия №7,УИК №806,2254,2000,0,1261,37,702,37,1261,13,1285,0,0,6,102,53,1020,36,11,19,38
Республика Дагестан,Акушинская,УИК №23,471,470,0,449,0,21,0,449,1,448,0,0,0,23,0,425,0,0,0,0
Чувашская Республика - Чувашия,Чебоксары, Московская,УИК №2011,1648,1300,0,1127,31,142,31,1127,26,1132,0,0,9,177,57,823,34,9,10,13
Кабардино-Балкарская Республика,Прохладненская,УИК №211,2169,2205,0,2028,17,160,17,2025,5,2037,0,0,4,93,24,1899,2,7,4,4
Свердловская область,Нижний Тагил, Дзержинская,УИК №2142,1419,1300,0,934,35,331,35,934,18,951,0,0,4,125,62,710,16,10,13,11
Брянская область,Стародубская,УИК №913,1400,1400,0,1232,51,117,51,1232,12,1271,0,0,3,88,93,1083,2,1,0,1
Владимирская область,Муром округ,УИК №893,1222,1200,0,836,72,292,72,836,12,896,0,0,7,120,66,667,14,4,10,8
Омская область,Омск, Советская,УИК №292,1288,1300,0,737,15,548,15,737,8,744,0,0,12,184,39,464,14,3,8,20
Кировская область,Киров, Октябрьская,УИК №396,1168,1100,0,624,19,457,19,624,13,630,0,0,2,51,76,467,14,7,6,7
Липецкая область,Измалковская,УИК №1026,146,146,0,103,31,12,31,103,0,134,0,0,0,4,2,128,0,0,0,0
Республика Дагестан,Левашинская,УИК №908,350,351,0,325,4,22,4,325,10,319,0,0,1,22,0,295,1,0,0,0
Красноярский край,Каратузская,УИК №1431,264,264,0,189,11,64,11,189,1,199,0,0,0,27,18,151,0,2,0,1
Алтайский край,Алейская,УИК №558,153,150,0,135,13,2,13,135,1,147,0,0,0,18,12,117,0,0,0,0
Московская область,Химкинская городская № 2,УИК №3148,1656,1175,0,1000,12,163,12,996,16,992,0,0,9,141,67,692,36,6,14,27
Нижегородская область,Арзамасская городская,УИК №48,1438,1200,0,1001,83,116,83,1001,8,1076,0,0,12,114,81,828,12,16,9,4
Иркутская область,Тулунская,УИК №1472,244,237,0,124,16,97,16,124,2,138,0,0,0,8,8,120,1,0,0,1
Ростовская область,Новочеркасская городская,УИК №1392,387,300,0,254,9,37,9,254,1,262,0,0,0,26,23,210,2,1,0,0
Брянская область,Новозыбковская городская,УИК №699,1406,1400,0,881,42,477,42,881,17,906,0,0,10,110,46,722,12,4,1,1
Волгоградская область,Городищенская,УИК №1229,1165,1000,0,619,11,370,11,619,8,622,0,0,4,108,36,448,10,3,3,10
Краснодарский край,Красноармейская,УИК №1915,731,715,0,398,57,260,57,398,5,450,0,0,3,55,33,347,2,5,3,2
Республика Башкортостан,Балтачевская,УИК №1136,114,113,0,103,3,7,3,103,0,106,0,0,0,9,2,92,1,1,1,0
Московская область,Одинцовская,УИК №3961,1126,1100,0,747,153,200,153,747,16,884,0,0,12,106,46,665,31,6,9,9
Кировская область,Куменская,УИК №579,404,400,0,288,34,78,34,288,4,318,0,0,5,27,33,245,4,3,0,1
Омская область,Омск, Кировская,УИК №89,2395,2400,0,1344,20,1036,20,1343,18,1345,0,0,15,341,70,852,30,17,8,12
город Санкт-Петербург,Территориальная избирательная комиссия №10,УИК №202,1647,1500,0,1056,25,419,25,1056,13,1068,0,0,7,85,55,850,34,12,11,14
Хабаровский край,Ульчская,УИК №715,124,180,0,96,3,81,3,96,0,99,0,0,1,2,19,75,0,2,0,0
